data,sistema,volume_porcentagem,volume_variacao,volume_operacional,pluviometria_dia,pluviometria_mensal,pluviometria_hist
2022-04-04,Cantareira,45,3,0,0,444,91210
2022-04-04,Alto Tietê,60,5,0,1,339,7453
2022-04-04,Guarapiranga,92,3,0,4,157,92709
2022-04-04,Cotia,95,1,0,0,15,68572
2022-04-04,Rio Grande,104,1,0,2,116,81923
2022-04-04,Rio Claro,54,1,0,0,7,38709
2022-04-04,São Lourenço,99,0,-1,4,87,91630
2022-04-03,Cantareira,45,3,0,0,444,42407
2022-04-03,Alto Tietê,60,4,0,3,338,27545
2022-04-03,Guarapiranga,91,9,0,4,157,39810
2022-04-03,Cotia,95,1,0,2,15,68572
2022-04-03,Rio Grande,104,3,0,2,117,1496
2022-04-03,Rio Claro,54,1,1,1,7,38709
2022-04-03,São Lourenço,100,4,1,5,89,16187
2022-04-02,Cantareira,45,3,0,0,444,65105
2022-04-02,Alto Tietê,60,1,0,5,336,62906
2022-04-02,Guarapiranga,91,5,0,5,156,60494
2022-04-02,Cotia,94,9,0,3,15,64941
2022-04-02,Rio Grande,104,1,0,7,116,81923
2022-04-02,Rio Claro,53,0,-1,0,7,25026
2022-04-02,São Lourenço,98,9,1,7,87,80351
2022-04-01,Cantareira,45,3,0,0,444,47625
2022-04-01,Alto Tietê,59,6,0,2,334,19373
2022-04-01,Guarapiranga,91,0,0,4,155,81219
2022-04-01,Cotia,94,6,0,2,15,61315
2022-04-01,Rio Grande,103,4,0,3,116,3834
2022-04-01,Rio Claro,54,0,7,9,7,37458
2022-04-01,São Lourenço,97,2,0,1,86,34397
2022-03-31,Cantareira,45,3,0,0,444,42991
2022-03-31,Alto Tietê,59,4,0,0,332,66805
2022-03-31,Guarapiranga,90,6,0,5,155,1987
2022-03-31,Cotia,94,4,0,0,15,57694
2022-03-31,Rio Grande,103,1,0,2,115,64911
2022-03-31,Rio Claro,46,1,0,1,6,29959
2022-03-31,São Lourenço,97,3,1,1,86,45581
2022-03-30,Cantareira,45,3,0,0,444,89088
2022-03-30,Alto Tietê,59,4,0,2,332,61627
2022-03-30,Guarapiranga,90,1,0,3,154,22798
2022-03-30,Cotia,94,4,0,2,15,57694
2022-03-30,Rio Grande,103,3,0,2,115,84362
2022-03-30,Rio Claro,46,0,0,2,6,28846
2022-03-30,São Lourenço,96,2,2,2,85,45194
2022-03-29,Cantareira,45,3,0,1,444,90552
2022-03-29,Alto Tietê,59,2,0,2,331,98117
2022-03-29,Guarapiranga,89,8,0,9,153,70031
2022-03-29,Cotia,94,2,0,2,15,54078
2022-03-29,Rio Grande,103,1,0,5,115,64911
2022-03-29,Rio Claro,46,2,0,1,6,31073
2022-03-29,São Lourenço,94,0,1,0,83,46177
2022-03-28,Cantareira,45,4,0,0,445,41803
2022-03-28,Alto Tietê,59,0,0,2,330,82322
2022-03-28,Guarapiranga,88,9,0,2,152,11858
2022-03-28,Cotia,94,0,0,5,15,50467
2022-03-28,Rio Grande,102,6,0,4,115,6678
2022-03-28,Rio Claro,46,3,0,0,6,32188
2022-03-28,São Lourenço,93,0,0,1,82,58467
2022-03-27,Cantareira,45,4,0,2,445,64700
2022-03-27,Alto Tietê,58,8,0,1,329,44785
2022-03-27,Guarapiranga,88,7,0,3,151,85515
2022-03-27,Cotia,93,5,0,0,15,43260
2022-03-27,Rio Grande,102,2,0,2,114,67957
2022-03-27,Rio Claro,46,3,0,0,6,33305
2022-03-27,São Lourenço,92,9,0,7,82,47535
2022-03-26,Cantareira,45,2,0,0,443,57715
2022-03-26,Alto Tietê,58,7,0,0,328,84934
2022-03-26,Guarapiranga,89,0,0,2,152,38207
2022-03-26,Cotia,93,5,0,2,15,43260
2022-03-26,Rio Grande,102,4,0,3,114,87307
2022-03-26,Rio Claro,46,3,0,3,6,33305
2022-03-26,São Lourenço,93,6,0,6,83,13232
2022-03-25,Cantareira,45,2,0,1,443,95113
2022-03-25,Alto Tietê,58,7,0,1,328,90734
2022-03-25,Guarapiranga,89,2,0,1,152,64561
2022-03-25,Cotia,93,3,0,4,15,39664
2022-03-25,Rio Grande,102,7,0,6,115,26069
2022-03-25,Rio Claro,46,6,0,2,6,36665
2022-03-25,São Lourenço,94,2,0,6,83,68175
2022-03-24,Cantareira,45,3,0,0,444,46206
2022-03-24,Alto Tietê,58,8,0,0,329,24175
2022-03-24,Guarapiranga,89,3,0,3,152,90920
2022-03-24,Cotia,92,9,0,4,15,32486
2022-03-24,Rio Grande,103,3,0,5,115,84362
2022-03-24,Rio Claro,46,8,0,9,6,40038
2022-03-24,São Lourenço,94,8,-1,0,84,23296
2022-03-23,Cantareira,45,3,0,0,444,71946
2022-03-23,Alto Tietê,58,8,0,1,329,38150
2022-03-23,Guarapiranga,89,6,0,0,153,43655
2022-03-23,Cotia,92,5,0,5,15,25328
2022-03-23,Rio Grande,103,8,0,5,116,42838
2022-03-23,Rio Claro,47,7,-2,0,6,52518
2022-03-23,São Lourenço,95,8,0,7,85,11863
2022-03-22,Cantareira,45,3,0,0,444,91034
2022-03-22,Alto Tietê,58,7,0,4,328,88659
2022-03-22,Guarapiranga,89,6,0,1,153,43655
2022-03-22,Cotia,92,0,0,4,15,18190
2022-03-22,Rio Grande,104,3,0,2,117,1496
2022-03-22,Rio Claro,49,7,-1,9,6,79194
2022-03-22,São Lourenço,96,5,0,5,85,67451
2022-03-21,Cantareira,45,3,0,2,444,70967
2022-03-21,Alto Tietê,58,3,0,8,326,89481
2022-03-21,Guarapiranga,89,5,0,2,153,17285
2022-03-21,Cotia,91,6,0,4,15,11071
2022-03-21,Rio Grande,104,1,0,5,116,81923
2022-03-21,Rio Claro,51,6,1,1,7,5458
2022-03-21,São Lourenço,96,0,0,7,85,22966
2022-03-20,Cantareira,45,1,0,1,443,24790
2022-03-20,Alto Tietê,57,5,0,6,322,4749
2022-03-20,Guarapiranga,89,3,0,1,152,90920
2022-03-20,Cotia,91,2,0,9,15,3972
2022-03-20,Rio Grande,103,6,0,2,116,23326
2022-03-20,Rio Claro,50,5,9,4,6,89849
2022-03-20,São Lourenço,95,3,0,7,84,67522
2022-03-19,Cantareira,45,0,0,1,442,28032
2022-03-19,Alto Tietê,56,9,0,0,318,70629
2022-03-19,Guarapiranga,89,2,0,3,152,64561
2022-03-19,Cotia,90,3,0,6,14,89834
2022-03-19,Rio Grande,103,4,0,4,116,3834
2022-03-19,Rio Claro,41,1,0,4,5,61640
2022-03-19,São Lourenço,96,0,0,5,85,22966
2022-03-18,Cantareira,44,9,0,1,441,5993
2022-03-18,Alto Tietê,56,9,0,1,318,80813
2022-03-18,Guarapiranga,89,5,0,7,153,17285
2022-03-18,Cotia,89,7,0,9,14,79281
2022-03-18,Rio Grande,103,8,0,3,116,42838
2022-03-18,Rio Claro,41,5,0,3,5,66770
2022-03-18,São Lourenço,96,5,0,0,85,67451
2022-03-17,Cantareira,44,8,0,4,439,75995
2022-03-17,Alto Tietê,56,8,0,1,318,39935
2022-03-17,Guarapiranga,90,2,2,3,154,49189
2022-03-17,Cotia,88,8,1,2,14,65279
2022-03-17,Rio Grande,104,1,0,8,116,81923
2022-03-17,Rio Claro,41,8,0,3,5,70899
2022-03-17,São Lourenço,96,5,1,8,85,67451
2022-03-16,Cantareira,44,4,0,4,436,269
2022-03-16,Alto Tietê,56,7,0,2,317,60022
2022-03-16,Guarapiranga,87,9,1,0,150,53888
2022-03-16,Cotia,87,6,1,3,14,44422
2022-03-16,Rio Grande,103,3,0,0,115,84362
2022-03-16,Rio Claro,42,1,0,2,5,75050
2022-03-16,São Lourenço,94,7,2,3,84,12258
2022-03-15,Cantareira,44,0,0,4,432,46209
2022-03-15,Alto Tietê,56,5,0,3,316,69257
2022-03-15,Guarapiranga,86,9,1,6,148,69866
2022-03-15,Cotia,86,3,2,5,14,23741
2022-03-15,Rio Grande,103,3,0,2,115,84362
2022-03-15,Rio Claro,42,3,0,2,5,78178
2022-03-15,São Lourenço,92,4,1,4,82,3878
2022-03-14,Cantareira,43,6,0,2,428,60755
2022-03-14,Alto Tietê,56,2,0,2,314,72210
2022-03-14,Guarapiranga,85,3,0,9,146,7533
2022-03-14,Cotia,83,8,1,0,13,82900
2022-03-14,Rio Grande,103,1,0,2,115,64911
2022-03-14,Rio Claro,42,5,0,3,5,80270
2022-03-14,São Lourenço,91,0,1,4,80,84397
2022-03-13,Cantareira,43,4,0,3,425,88866
2022-03-13,Alto Tietê,56,0,0,3,313,82578
2022-03-13,Guarapiranga,84,4,1,2,144,50472
2022-03-13,Cotia,82,8,1,0,13,66088
2022-03-13,Rio Grande,102,9,0,7,115,45480
2022-03-13,Rio Claro,42,8,0,2,5,84471
2022-03-13,São Lourenço,89,6,4,1,79,55012
2022-03-12,Cantareira,43,1,0,1,423,17633
2022-03-12,Alto Tietê,55,7,0,2,312,12655
2022-03-12,Guarapiranga,83,2,1,5,142,41480
2022-03-12,Cotia,81,8,1,4,13,49395
2022-03-12,Rio Grande,102,2,1,3,114,67957
